BibNum,Title,Author,ISBN,PublicationYear,Publisher,Subjects,ItemType,ItemCollection,FloatingItem,ItemLocation,ReportDate,ItemCount
2562706,Harry Potter and the chamber of secrets [videorecording] / Warner Bros. Pictures ; directed by Chris Columbus ; screenplay by Steve Kloves ; produced by David Heyman ; a Heyday Films/1492 Pictures production.,,"0780674316, 1419857010, 9780780674318, 9781419857010",[2007],"Distributed by Warner Home Video,","Potter Harry Fictitious character Drama, Hogwarts School of Witchcraft and Wizardry Imaginary organization Drama, Wizards England Drama, Magic England Drama, Friendship Drama, Fantasy films, Childrens films, Fiction films, Feature films, Video recordings for the hearing impaired, Action and adventure films",acdvd,nadvd,Floating,gwd,10/01/2017,4
2369130,Harī Pottā to nazo no purinsu = Harry Potter and the half-blood prince / J.K. Rōringu saku ; Matsuoka Yūko yaku.,"Rowling, J. K.","4915512576, 4915512584, 4915512592",2006.,"Seizansha,","Potter Harry Fictitious character Juvenile fiction, Hogwarts School of Witchcraft and Wizardry Imaginary organization Juvenile fiction, Wizards Juvenile fiction, Magic Juvenile fiction, Schools Juvenile fiction, England Juvenile fiction, Japanese language materials",jcbk,ccln,NA,cen,10/01/2017,2
2277368,Harry Potter and the half-blood prince / by J.K. Rowling ; illustrations by Mary GrandPré.,"Rowling, J. K.",0439784549,c2005.,"Arthur A. Levine Books,","Potter Harry Fictitious character Juvenile fiction, Hogwarts School of Witchcraft and Wizardry Imaginary organization Juvenile fiction, Wizards Juvenile fiction, Magic Fiction, Boarding schools Juvenile fiction, England Juvenile fiction, Fantasy Fiction",jcbk,ncfic,NA,swt,10/01/2017,2
2613376,"Harry Potter and the half-blood prince [videorecording] / Warner Bros. Pictures ; a Heyday Films production ; produced by David Heyman, David Barron ; screenplay by Steve Kloves ; directed by David Yates.",,"0780674316, 1419864173, 9780780674318, 9781419864179",c2009.,"Warner Home Video,","Potter Harry Fictitious character Drama, Hogwarts School of Witchcraft and Wizardry Imaginary organization Drama, Wizards England Drama, Teenagers Conduct of life Drama, Good and evil Drama, Fantasy films, Feature films, Fiction films, Video recordings for the hearing impaired",acdvd,nadvd,Floating,uni,10/01/2017,1
3130115,Harry Potter and the sorcerer's stone / J.K. Rowling ; illustrated by Jim Kay.,"Rowling, J. K.","0545790352, 9780545790352",2015.,"Arthur A. Levine Books, an imprint of Scholastic Inc.,","Wizards Juvenile fiction, Magic Juvenile fiction, Schools Juvenile fiction, Potter Harry Fictitious character Juvenile fiction, Hogwarts School of Witchcraft and Wizardry Imaginary organization Juvenile fiction, England Juvenile fiction, Wizards Fiction, Magic Fiction, Schools Fiction, Potter Harry Fictitious character Fiction, Hogwarts School of Witchcraft and Wizardry Imaginary organization Fiction, England Fiction",jcbk,ncfic,NA,dlr,10/01/2017,1
2746652,"Harry Potter : page to screen, the complete filmmaking journey / [Bob McCabe].","McCabe, Bob","0062101897, 9780062101891",2011.,"Harper Design,","Fantasy films, Harry Potter films Handbooks manuals etc, Harry Potter films Miscellanea, Harry Potter films Pictorial works, Potter Harry Fictitious character Handbooks manuals etc, Potter Harry Fictitious character Miscellanea, Potter Harry Fictitious character Pictorial works, Rowling J K Film and video adaptations",acbk,canf,NA,cen,10/01/2017,2
1886970,Harry Potter and the chamber of secrets / by J.K. Rowling ; illustrations by Mary Grandpre.,"Rowling, J. K.","0439064864, 0439064872, 9780439064866",1999.,"Arthur A. Levine Books,","Wizards Juvenile fiction, Magic Fiction, Schools Fiction, Potter Harry Fictitious character Juvenile fiction, England Juvenile fiction",jcbk,ncfic,NA,glk,10/01/2017,2
3217193,Harry Potter and the Chamber of Secrets / J.K. Rowling ; illustrated by Jim Kay.,"Rowling, J. K.","0545791324, 9780545791328",2016.,"Arthur A. Levine Books, an imprint of Scholastic Inc.,","Wizards Juvenile fiction, Magic Juvenile fiction, Schools Juvenile fiction, England Juvenile fiction, Wizards Fiction, Magic Fiction, Schools Fiction, England Fiction, JUVENILE FICTION Fantasy Magic, JUVENILE FICTION Action Adventure General, JUVENILE FICTION Social Issues Friendship",jcbk,ncfic,NA,qna,10/01/2017,1
1965109,Harry Potter and the goblet of fire / by J.K. Rowling ; illustrations by Mary GrandPré.,"Rowling, J. K.","0439139597, 9780439139595",2000.,"Arthur A. Levine Books,","Wizards Juvenile fiction, Magic Fiction, Schools Fiction, Potter Harry Fictitious character Juvenile fiction, England Juvenile fiction",jcbk,ncfic,NA,col,10/01/2017,2
2176667,Harry Potter and the Order of the Phoenix / by J.K. Rowling ; illustrations by Mary Grandpré.,"Rowling, J. K.","043935806X, 9780439358064",2003.,"Scholastic,","Potter Harry Fictitious character Juvenile fiction, Wizards Juvenile fiction, Magic Fiction, Boarding schools Juvenile fiction, Hogwarts School of Witchcraft and Wizardry Imaginary organization Juvenile fiction, England Juvenile fiction, Fantasy Fiction",jcbk,ncfic,NA,bal,10/01/2017,4
