BibNumber,ItemBarcode,ItemType,Collection,CallNumber,CheckoutDateTime
1886970,0010051470820,jcbk,ccfic,J ROWLING,07/09/2007 05:16:00 PM
2410427,0010057262742,jcbk,ncfic,J ROWLING,08/25/2007 11:00:00 AM
2176667,0010045792057,jcbk,ncfic,J ROWLING,08/21/2007 05:39:00 PM
2277368,0010051162229,jcbk,ncfic,J ROWLING2005,09/10/2007 05:50:00 PM
2277368,0010051158300,jcbk,ncfic,J ROWLING2005,03/30/2007 04:41:00 PM
2277368,0010051162799,jcbk,ncfic,J ROWLING2005,06/14/2007 06:26:00 PM
2176667,0010034110212,jcbk,ncfic,J ROWLING,05/21/2007 10:23:00 AM
2410427,0010056947582,jcbk,ncfic,J ROWLING,12/08/2007 02:53:00 PM
2410427,0010057942301,jcbk,ncfic,J ROWLING,08/24/2007 12:47:00 PM
2277368,0010051161932,jcbk,ccfic,J ROWLING2005,11/06/2007 01:29:00 PM
2304178,0010054255749,jcbk,nclp,J ROWLING,01/25/2007 04:17:00 PM
2176667,0010045792057,jcbk,ncfic,J ROWLING,08/13/2007 07:45:00 PM
2410427,0010056947574,jcbk,ncfic,J ROWLING,11/21/2007 02:36:00 PM
2277368,0010051163623,jcbk,ncfic,J ROWLING2005,04/25/2007 07:45:00 PM
2410427,0010056947749,jcbk,ncfic,J ROWLING,09/28/2007 10:24:00 AM
2410427,0010058790162,jcbk,ncfic,J ROWLING,10/18/2007 04:17:00 PM
2410427,0010057942608,jcbk,ncfic,J ROWLING,10/28/2007 12:26:00 PM
1965109,0010051380318,jcbk,ncfic,J ROWLING,11/21/2007 05:45:00 PM
2410427,0010057049677,jcbk,ncfic,J ROWLING,08/07/2007 06:01:00 PM
2176667,0010045792297,jcbk,ncfic,J ROWLING,04/27/2007 11:43:00 AM
2410427,0010058790196,jcbk,ncfic,J ROWLING,08/12/2007 03:48:00 PM
2410427,0010057050212,jcbk,ncfic,J ROWLING,09/25/2007 05:28:00 PM
2410427,0010057050188,jcbk,ncfic,J ROWLING,08/26/2007 04:33:00 PM
2277368,0010051165586,jcbk,ncfic,J ROWLING2005,03/14/2007 01:24:00 PM
2176667,0010045792412,jcbk,ncfic,J ROWLING,10/02/2007 04:28:00 PM
1886970,0010048376841,jcbk,ncfic,J ROWLING,12/14/2007 03:29:00 PM
2277368,0010051165925,jcbk,ccfic,J ROWLING2005,05/17/2007 02:47:00 PM
1886970,0010057464082,jcbk,ncfic,J ROWLING,11/15/2007 12:48:00 PM
2410427,0010057262478,jcbk,ncfic,J ROWLING,12/21/2007 11:18:00 AM
2410427,0010057049982,jcbk,ncfic,J ROWLING,12/09/2007 03:21:00 PM
2410427,0010057050329,jcbk,ncfic,J ROWLING,08/04/2007 03:14:00 PM
1894708,0010049436552,jcbk,ncfic,J ROWLING,01/20/2007 05:06:00 PM
2410427,0010058790246,jcbk,ncfic,J ROWLING,09/08/2007 10:05:00 AM
2277368,0010051161551,jcbk,ncfic,J ROWLING2005,08/23/2007 12:40:00 PM
1886970,0010057928300,jcbk,ncfic,J ROWLING,06/16/2007 11:57:00 AM
2277368,0010051165701,jcbk,ncfic,J ROWLING2005,10/10/2007 12:55:00 PM
2277368,0010051165727,jcbk,ncfic,J ROWLING2005,07/19/2007 07:42:00 PM
2205013,0010047948350,jcbk,nclp,J ROWLING,04/13/2007 03:56:00 PM
1965109,0010048375926,jcbk,ncfic,J ROWLING,11/14/2007 04:03:00 PM
